claim_number,policy_number,policyholder_id,vehicle_vin,claim_type,claim_status,severity,incident_date,incident_location,incident_description,number_of_vehicles_involved,claimed_amount,approved_amount,paid_amount,payment_method,incident_evidence,fraud_score,is_fraudulent,fraud_reason,submitted_date,reviewed_date,closed_date
CLM-733962380729,POL-165011457581,ZW-PH-3162309896,KZ5ZWNX0HVV01AA79,ACCIDENT,CLOSED,MINOR,2025-07-14 11:53:21,"Beitbridge Border Post, Gwanda, MATABELELAND_SOUTH",Side collision at intersection — other driver ran red light in Harare CBD,1,621.68,597.620984,597.620984,ECOCASH,,0.2282,False,,2025-07-14 20:53:21,2025-07-30 20:53:21,2025-08-05 20:53:21
CLM-390464781004,POL-058589069555,ZW-PH-4919134244,U7PJBSRLBND9DBGNR,ACCIDENT,CLOSED,MINOR,2025-03-20 09:15:59,"Main Street, Plumtree, MATABELELAND_SOUTH",Hit while parked at Sam Levy Shopping Centre,2,986.1,882.26367,882.26367,BANK_TRANSFER,,0.2094,False,,2025-03-21 02:15:59,2025-04-06 02:15:59,2025-04-18 02:15:59
CLM-198171926922,POL-058589069555,ZW-PH-4919134244,U7PJBSRLBND9DBGNR,ACCIDENT,APPROVED,MINOR,2025-06-01 09:07:20,"Rural Road, Plumtree, MATABELELAND_SOUTH",Multi-vehicle collision on A1 highway due to sudden braking,2,537.64,515.05912,0.00,CASH,,0.0208,False,,2025-06-02 00:07:20,2025-06-11 00:07:20,
CLM-949656525729,POL-824856542060,ZW-PH-8134285656,4L2M4UFSCPXEEWY4N,ACCIDENT,PAID,MINOR,2024-08-04 07:49:52,"Highway A2, Victoria Falls, MATABELELAND_NORTH","Hit and run incident on Simon Mazorodze Road, other driver fled",3,722.23,695.868605,695.868605,SWIPE,,0.2588,False,,2024-08-05 07:49:52,2024-08-24 07:49:52,
CLM-532670991946,POL-222365239338,ZW-PH-6788555192,57GDHKXRZ52ET2PJT,OTHER,PAID,MINOR,2025-03-28 11:27:44,"Robert Mugabe Road, Norton, HARARE",Struck by falling rock from kopje near Marondera,1,819.66,773.75904,773.75904,ECOCASH,,0.1406,False,Multiple claims history,2025-03-30 09:27:44,2025-04-18 09:27:44,
CLM-540529709011,POL-222365239338,ZW-PH-6788555192,57GDHKXRZ52ET2PJT,OTHER,APPROVED,MINOR,2025-03-09 11:56:26,"Main Street, Norton, HARARE",Struck by flying debris from mine truck on Hwange road,1,1029.27,1012.492899,0.00,BANK_TRANSFER,,0.11810000000000001,False,Multiple claims history,2025-03-11 16:56:26,2025-03-16 16:56:26,
CLM-685112286719,POL-222365239338,ZW-PH-6788555192,57GDHKXRZ52ET2PJT,OTHER,CLOSED,MINOR,2025-11-22 12:38:50,"Residential Area, Norton, HARARE",Rock thrown at windscreen from overpass near Chitungwiza,1,565.64,498.498532,498.498532,CASH,,0.13390000000000002,False,Multiple claims history,2025-11-24 21:38:50,2025-12-13 21:38:50,2025-12-18 21:38:50
CLM-659042964619,POL-222365239338,ZW-PH-6788555192,57GDHKXRZ52ET2PJT,ACCIDENT,CLOSED,MINOR,2025-04-10 18:32:56,"Robert Mugabe Road, Norton, HARARE","Hit and run incident on Simon Mazorodze Road, other driver fled",2,827.43,769.592643,769.592643,BANK_TRANSFER,,0.3318,False,Multiple claims history,2025-04-11 20:32:56,2025-04-21 20:32:56,2025-04-27 20:32:56
CLM-770451779947,POL-510020017044,ZW-PH-6068941037,F0YTH7UHT2BXMF8ZX,NATURAL_DISASTER,PAID,MINOR,2025-12-06 08:44:30,"Bulawayo Road, Chimanimani, MANICALAND","Severe hail damage to bonnet, roof and boot during Harare storms",1,1645.02,1535.297166,1535.297166,CASH,,0.1164,False,Multiple claims history,2025-12-07 03:44:30,2025-12-26 03:44:30,
CLM-976696228702,POL-510020017044,ZW-PH-6068941037,F0YTH7UHT2BXMF8ZX,ACCIDENT,REJECTED,MINOR,2025-09-23 14:12:47,"Commuter Terminus, Chimanimani, MANICALAND",Collision in Westgate shopping mall parking area while reversing,1,16225.38,0.00,0.00,BANK_TRANSFER,,0.8381,True,Incident at border crossing — difficult to verify independently; Staged incident in high-risk location with near-maximum claim; Multiple claims history,2025-09-25 02:12:47,2025-10-28 02:12:47,2025-10-28 02:12:47
CLM-952355861635,POL-510020017044,ZW-PH-6068941037,F0YTH7UHT2BXMF8ZX,ACCIDENT,CLOSED,MODERATE,2025-08-20 09:50:45,"Samora Machel Avenue, Chimanimani, MANICALAND","Hit and run incident on Simon Mazorodze Road, other driver fled",1,2111.05,2108.93895,2108.93895,SWIPE,,0.1121,False,Multiple claims history,2025-08-20 23:50:45,2025-09-07 23:50:45,2025-09-22 23:50:45
CLM-975022335895,POL-630875916022,ZW-PH-8536860678,X6J9SVFHWHRX8MUXT,NATURAL_DISASTER,PAID,MINOR,2026-01-23 11:46:17,"Farm Road, Bulawayo, BULAWAYO",Large branch fell through windscreen during overnight storm,1,658.46,592.877384,592.877384,BANK_TRANSFER,,0.0941,False,,2026-01-25 02:46:17,2026-01-30 02:46:17,
CLM-880264026007,POL-068240922749,ZW-PH-3997757190,PH8UK9260VMT0W9ZU,VANDALISM,CLOSED,MINOR,2025-08-27 15:05:25,"Chirundu Border Post, Masvingo, MASVINGO",All four tyres deflated and rims scratched,1,2172.34,1877.987930,1877.987930,CASH,,0.2447,False,,2025-08-30 10:05:25,2025-09-07 10:05:25,2025-09-18 10:05:25
CLM-496785454038,POL-068240922749,ZW-PH-3997757190,PH8UK9260VMT0W9ZU,VANDALISM,CLOSED,MINOR,2025-11-12 00:58:17,"Rural Road, Masvingo, MASVINGO","Windscreen and side windows smashed, nothing stolen",1,1967.08,1948.786156,1948.786156,CASH,,0.2779,False,,2025-11-14 09:58:17,2025-11-30 09:58:17,2025-12-06 09:58:17
CLM-773629914569,POL-312479359940,ZW-PH-8773202751,SHVAT6C6NXUW79BLD,ACCIDENT,PAID,MINOR,2026-01-20 03:11:15,"Robert Mugabe Road, Chimanimani, MANICALAND",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,1703.24,1691.998616,1691.998616,CASH,,0.2162,False,,2026-01-20 10:11:15,2026-02-06 10:11:15,
CLM-499645451253,POL-937833105739,ZW-PH-9503747353,FM5FFK6N81ZTHCWKM,NATURAL_DISASTER,CLOSED,MINOR,2025-07-07 08:07:57,"Gas Station, Makuti, MASHONALAND_WEST","Erosion collapsed parking bay, vehicle dropped into ditch",1,1162.75,1037.638100,1037.638100,CASH,,0.3298,False,Multiple claims history,2025-07-10 04:07:57,2025-07-27 04:07:57,2025-08-10 04:07:57
CLM-924423354056,POL-041733219228,ZW-PH-9503747353,CLRA39MFE0FBWR9EK,ACCIDENT,SUBMITTED,MINOR,2026-04-11 08:16:32,"Residential Area, Makuti, MASHONALAND_WEST","Hit and run incident on Simon Mazorodze Road, other driver fled",1,330.74,0.00,0.00,SWIPE,,0.4504,False,Multiple claims history,2026-04-12 23:16:32,,
CLM-156827099264,POL-041733219228,ZW-PH-9503747353,CLRA39MFE0FBWR9EK,ACCIDENT,APPROVED,MINOR,2026-04-10 12:35:28,"Parking Lot, Makuti, MASHONALAND_WEST",Backed into another vehicle at Borrowdale Racecourse parking,2,604.54,565.305354,0.00,CASH,,0.5013,False,Multiple claims history,2026-04-11 21:35:28,2026-04-19 21:35:28,
CLM-637390694995,POL-041733219228,ZW-PH-9503747353,CLRA39MFE0FBWR9EK,ACCIDENT,UNDER_REVIEW,MINOR,2026-03-16 06:00:00,"Township Road, Makuti, MASHONALAND_WEST",Side-swipe on Bulawayo Road near Gweru tollgate,2,672.21,0.00,0.00,BANK_TRANSFER,,0.7574,True,Claimed amount grossly inflated beyond vehicle proportion; Claim filed within first 14 days of policy inception; Multiple claims history,2026-03-17 03:00:00,,
CLM-839239291359,POL-041733219228,ZW-PH-9503747353,CLRA39MFE0FBWR9EK,VANDALISM,SUBMITTED,MAJOR,2026-04-10 09:11:54,"Rural Road, Makuti, MASHONALAND_WEST","Windscreen and side windows smashed, nothing stolen",1,1830.78,0.00,0.00,ECOCASH,,0.2605,False,Multiple claims history,2026-04-10 13:11:54,,
CLM-661853227499,POL-153340278027,ZW-PH-9906992591,2RV2SE17XYB2LNFSP,ACCIDENT,CLOSED,MINOR,2026-03-22 15:55:14,"Harare CBD, Bulawayo, BULAWAYO",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,1374.37,1240.368925,1240.368925,CASH,,0.2869,False,,2026-03-24 00:55:14,2026-04-03 00:55:14,2026-04-15 00:55:14
CLM-810505685740,POL-164981396231,ZW-PH-6333104285,NHXCLP3D8FV9KYGTU,OTHER,PAID,MODERATE,2026-03-11 16:55:46,"Bulawayo Road, Makuti, MASHONALAND_WEST",Collision with cyclist at roundabout near Airport Road,1,4172.59,3754.913741,3754.913741,ECOCASH,,0.0857,False,,2026-03-12 12:55:46,2026-03-25 12:55:46,
CLM-088129689858,POL-164981396231,ZW-PH-6333104285,NHXCLP3D8FV9KYGTU,ACCIDENT,CLOSED,MODERATE,2025-08-19 04:59:20,"Robert Mugabe Road, Makuti, MASHONALAND_WEST",Multi-vehicle collision on A1 highway due to sudden braking,1,3064.67,2772.300482,2772.300482,CASH,,0.1874,False,,2025-08-20 04:59:20,2025-09-03 04:59:20,2025-09-09 04:59:20
CLM-734103165232,POL-362639531612,ZW-PH-9624494538,3EH2PR13KUFTTA7XB,ACCIDENT,PAID,MINOR,2024-12-27 08:20:45,"Main Street, Marondera, MASHONALAND_EAST",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,381.2,366.79064,366.79064,CASH,,0.2115,False,,2024-12-29 07:20:45,2025-01-05 07:20:45,
CLM-165385705035,POL-362639531612,ZW-PH-9624494538,3EH2PR13KUFTTA7XB,ACCIDENT,CLOSED,MINOR,2025-11-19 00:03:24,"Commuter Terminus, Marondera, MASHONALAND_EAST",Multi-vehicle collision on A1 highway due to sudden braking,2,291.47,262.148118,262.148118,ECOCASH,,0.181,False,,2025-11-20 17:03:24,2025-11-27 17:03:24,2025-12-02 17:03:24
CLM-789321428498,POL-407979963833,ZW-PH-9985526432,C9B3T9K9LJ4LTJLPS,NATURAL_DISASTER,PAID,MODERATE,2025-09-21 01:15:05,"Harare CBD, Norton, HARARE",Flooding swept vehicle into storm drain along Marimba Road,1,2132.32,1937.212720,1937.212720,ECOCASH,,0.109,False,,2025-09-22 17:15:05,2025-10-01 17:15:05,
CLM-934562921426,POL-873136806079,ZW-PH-7175136082,H3Z316KG1415CT0EU,ACCIDENT,PAID,MINOR,2025-02-24 17:12:45,"Rural Road, Binga, MATABELELAND_NORTH",Single vehicle accident — lost control on wet road near Mutare,3,345.04,299.805256,299.805256,SWIPE,,0.2347,False,,2025-02-25 01:12:45,2025-03-14 01:12:45,
CLM-237290729031,POL-689582971573,ZW-PH-8644811798,KVFMMWLV6SSCLZXMZ,ACCIDENT,CLOSED,MODERATE,2026-01-04 09:35:09,"Highway A5, Chiredzi, MASVINGO",Hit while parked at Sam Levy Shopping Centre,2,306.77,296.95336,296.95336,SWIPE,,0.1617,False,,2026-01-06 12:35:09,2026-01-13 12:35:09,2026-01-19 12:35:09
CLM-449133436124,POL-282615251604,ZW-PH-6717238925,2CL10L8F1EUNZ201P,ACCIDENT,CLOSED,TOTAL_LOSS,2025-10-09 18:07:33,"Airport Road, Bulawayo, BULAWAYO",T-bone collision at four-way stop near Chitungwiza,2,22930.29,19818.649647,19818.649647,CASH,,0.1464,False,,2025-10-11 15:07:33,2025-10-31 15:07:33,2025-11-06 15:07:33
CLM-535938698914,POL-320818852397,ZW-PH-4909710221,MPAT8RR41EEWCEUHT,FIRE,UNDER_REVIEW,MAJOR,2026-04-09 03:16:59,"Main Street, Triangle, MASVINGO",Catalytic converter overheated and ignited dry grass under vehicle,1,1737.18,0.00,0.00,BANK_TRANSFER,,0.0977,False,,2026-04-12 02:16:59,,
CLM-755836683008,POL-704766750305,ZW-PH-7552236406,53X56H9RZRLD56ZJW,ACCIDENT,PAID,MINOR,2025-06-18 03:31:08,"Bulawayo CBD, Bulawayo, BULAWAYO",Collision in Westgate shopping mall parking area while reversing,2,154.15,136.73105,136.73105,BANK_TRANSFER,,0.0576,False,,2025-06-20 20:31:08,2025-07-01 20:31:08,
CLM-728763288212,POL-193283275277,ZW-PH-2772981162,X7W6FH03DUY52782Z,VANDALISM,APPROVED,MAJOR,2025-10-16 11:40:20,"Rural Road, Kariba, MASHONALAND_WEST",Paint scorched with chemical substance in Southerton industrial,1,7682.16,7324.171344,0.00,CASH,,0.2734,False,,2025-10-18 20:40:20,2025-11-04 20:40:20,
CLM-881424068394,POL-193283275277,ZW-PH-2772981162,X7W6FH03DUY52782Z,ACCIDENT,PAID,MINOR,2026-03-12 16:09:57,"Airport Road, Kariba, MASHONALAND_WEST","Hit and run incident on Simon Mazorodze Road, other driver fled",1,1503.16,1373.437292,1373.437292,CASH,,0.0448,False,,2026-03-14 09:09:57,2026-03-24 09:09:57,
CLM-548082769256,POL-037115440569,ZW-PH-6344741602,RTF88GKL1909D177X,VANDALISM,CLOSED,MAJOR,2026-02-04 07:35:07,"Gas Station, Gweru, MIDLANDS",All four tyres deflated and rims scratched,1,2863.51,2597.776272,2597.776272,CASH,,0.0611,False,,2026-02-06 16:35:07,2026-02-15 16:35:07,2026-02-26 16:35:07
CLM-263792139379,POL-913569794055,ZW-PH-5419697432,0GJTJCKXLKXET65N4,OTHER,PAID,MODERATE,2026-01-19 18:26:16,"Beitbridge Border Post, Ruwa, HARARE",Struck by falling rock from kopje near Marondera,1,3127.67,2792.071009,2792.071009,BANK_TRANSFER,,0.2872,False,,2026-01-22 05:26:16,2026-02-09 05:26:16,
